Name,Innings,Runs Scored,Avg,Outs,SR,Balls Faced,Form_Score1_Runs,Form_Score1_Balls,Form_Score1_Out,Form_Score2_Runs,Form_Score2_Balls,Form_Score2_Out,Form_Score3_Runs,Form_Score3_Balls,Form_Score3_Out,Form_Avg,Form_SR,Form_Score,Debut,Foreign
Anand Rajan,0,0,0,0,0,0,11,6,1,,,,,,,,,0.8,1,0
Kedar Devdhar,0,0,0,0,0,0,28,23,1,,,,,,,,,0.8,1,0
Prasanth Padmanabhan,0,0,0,0,0,0,21,14,1,,,,,,,,,0.8,1,0
Shrikant Munde,0,0,0,0,0,0,5,8,1,,,,,,,,,0.8,1,0
Ray Price,0,0,0,0,0,0,2,7,1,,,,,,,,,0.8,1,1
KP Appanna,0,0,0,0,0,0,2,3,1,,,,,,,,,0.8,1,0
Ben Hilfenhaus,0,0,0,0,0,0,1,5,1,,,,,,,,,0.8,1,1
Tanmay Mishra,0,0,0,0,0,0,15,18,1,,,,,,,,,0.8,1,0
TP Sudhindra,0,0,0,0,0,0,13,8,0,,,,,,,,,0.8,1,0
Harmeet Singh - RR,0,0,0,0,0,0,9,8,1,,,,,,,,,0.8,1,0
Michael Neser,0,0,0,0,0,0,35,28,1,,,,,,,,,0.8,1,1
Pawan Suyal,0,0,0,0,0,0,0,2,1,,,,,,,,,0.8,1,0
John Hastings,0,0,0,0,0,0,15,12,1,,,,,,,,,0.8,1,1
Krishmar Santokie,0,0,0,0,0,0,0,1,1,,,,,,,,,0.8,1,1
Gurinder Singh Sandhu,0,0,0,0,0,0,5,9,1,,,,,,,,,0.8,1,1
Scott Boland,0,0,0,0,0,0,8,8,1,,,,,,,,,0.8,1,1
Tabraiz Shamsi,0,0,0,0,0,0,5,6,0,,,,,,,,,0.8,1,1
Shubham Agarwal,0,0,0,0,0,0,36,30,1,,,,,,,,,0.8,1,0
Matt Henry,0,0,0,0,0,0,7,6,1,,,,,,,,,0.8,1,1
T Natarajan,0,0,0,0,0,0,2,5,1,,,,,,,,,0.8,1,0
Nathu Singh,0,0,0,0,0,0,1,3,1,,,,,,,,,0.8,1,0
Tejas Baroka,0,0,0,0,0,0,0,1,1,,,,,,,,,0.8,1,0
KM Asif,0,0,0,0,0,0,0,1,0,,,,,,,,,0.8,1,0
Junior Dala,0,0,0,0,0,0,2,3,0,,,,,,,,,0.8,1,1
Kulwant Khejroliya,0,0,0,0,0,0,18,10,0,,,,,,,,,0.8,1,0
Lungi Ngidi,0,0,0,0,0,0,6,9,1,,,,,,,,,0.8,1,1
