Name,Innings,Wickets Taken,Runs Given,Balls Bowled,Avg,SR,Eco,Form_Figure1_Runs,Form_Figure1_Balls,Form_Figure1_Wickets,Form_Figure2_Runs,Form_Figure2_Balls,Form_Figure2_Wickets,Form_Figure3_Runs,Form_Figure3_Balls,Form_Figure3_Wickets,Form_Avg,Form_SR,Form_Eco,Form_Score,Debut,Bowler_type,Foreign
Shrikant Munde,0,0,0,0,25,20,7.5,25,20,1,,,,,,,,,,0.8,1,P,0
Sunny Singh,0,0,0,0,31.2,24,7.8,31,24,1,,,,,,,,,,0.8,1,P,0
James Pattinson,0,0,0,0,24.12,17.5,8.25,32,24,1,,,,,,,,,,0.8,1,P,1
Ashton Turner,0,0,0,0,29.16666667,25,7,28,24,0,,,,,,,,,,0.8,1,S,1
Aaron Finch,6,2,76,61,38,30.5,7.475409836,,,,,,,,,,,,,0.8,0,S,1
Aavishkar Salvi,7,7,200,150,28.57142857,21.42857143,8,,,,,,,,,,,,,0.8,0,P,0
Abhimanyu Mithun,17,7,481,294,68.71428571,42,9.816326531,,,,,,,,,,,,,0.8,0,P,0
Abhishek Jhunjhunwala,18,1,129,85,129,85,9.105882353,,,,,,,,,,,,,0.8,0,S,0
Abhishek Nayar,40,9,322,229,35.77777778,25.44444444,8.436681223,,,,,,,,,,,,,0.8,0,P,0
Abhishek Raut,16,0,44,30,44,30,8.8,,,,,,,,,,,,,0.8,0,S,0
Abu Nechim Ahmed,17,12,498,344,41.5,28.66666667,8.686046512,,,,,,,,,,,,,0.8,0,P,0
Ajit Agarkar,42,29,1151,782,39.68965517,26.96551724,8.831202046,,,,,,,,,,,,,0.8,0,P,0
Albie Morkel,87,85,2355,1723,27.70588235,20.27058824,8.200812536,,,,,,,,,,,,,0.8,0,P,1
Alfonso Thomas,14,14,391,297,27.92857143,21.21428571,7.898989899,,,,,,,,,,,,,0.8,0,P,1
Ali Murtaza,13,12,347,288,28.91666667,24,7.229166667,,,,,,,,,,,,,0.8,0,S,0
Amit Mishra,147,155,3799,3101,24.50967742,20.00645161,7.350532086,,,,,,,,,,,,,0.8,0,S,0
Amit Singh,23,28,620,473,22.14285714,16.89285714,7.864693446,,,,,,,,,,,,,0.8,0,P,0
Anand Rajan,8,8,201,149,25.125,18.625,8.093959732,,,,,,,,,,,,,0.8,0,P,0
Andrew McDonald,10,11,261,186,23.72727273,16.90909091,8.419354839,,,,,,,,,,,,,0.8,0,P,1
Andrew Symonds,31,20,674,527,33.7,26.35,7.673624288,,,,,,,,,,,,,0.8,0,S,1
Ankeet Chavan,13,8,326,248,40.75,31,7.887096774,,,,,,,,,,,,,0.8,0,S,0
Asad Pathan,3,0,63,39,63,39,9.692307692,,,,,,,,,,,,,0.8,0,P,0
Ashish Nehra,88,106,2475,1908,23.3490566,18,7.783018868,,,,,,,,,,,,,0.8,0,P,0
