Venue,Avg_rr,rr_1,rr_2,rr_3
Bengaluru,8.966666667,8.05,10.1,8.75
Chennai,7.75,7.75,8.95,6.55
Delhi,7.75,8.15,9.35,5.75
Hyderabad,8.666666667,7.95,10.6,7.45
Jaipur,8.533333333,8.05,9.55,8
Kolkata,10.33333333,10.65,8.75,11.6
Mohali,8.916666667,9.1,9.15,8.5
Mumbai,7.766666667,8.55,8.1,6.65
Ahmedabad,7.95,7.8,9.55,6.5
Cuttack,8.683333333,11.55,7.45,7.05
Dharamsala,8.25,7.05,8.55,9.15
Nagpur,7.486666667,8.01,6.9,7.55
Navi Mumbai,6.643333333,7.1,4.43,8.4
Kochi,7.366666667,6.45,7.85,7.8
Indore,8.550732601,7.6,12.25,5.802197802
Pune,7.693220339,6.35,8.95,7.779661017
Visakhapatnam,8.016666667,8.6,8.1,7.35
Ranchi,7.7,6.9,9.25,6.95
Raipur,6.916666667,5.95,7.9,6.9
Abu Dhabi,6.288888889,4.666666667,6.6,7.6
Brabourne,10,10.05,9.95,
Sharjah,7,7.5,6.25,7.25
Dubai (DSC),7.283333333,7.05,6.2,8.6
Rajkot,9.233333333,10.65,9.4,7.65
Kanpur,8.77183908,8.6,9.75,7.965517241
