Name,Type,Foreigner
Aaron Finch,bat,1
Aavishkar Salvi,bowl,0
AB de Villiers,bat,1
Abhimanyu Mithun,bowl,0
Abhinav Mukund,bat,0
Abhishek Jhunjhunwala,all,0
Abhishek Nayar,all,0
Abhishek Raut,all,0
Abhishek Sharma,bat,0
Abu Nechim Ahmed,bowl,0
Adam Gilchrist,wk,1
Adam Milne,bowl,1
Adam Zampa,bowl,1
Adil Rashid,bowl,1
Aditya Tare,wk,0
Aiden Blizzard,bat,1
Ajantha Mendis,bowl,1
Ajinkya Rahane,bat,0
Ajit Agarkar,bowl,0
Ajit Chandila,bowl,0
Akila Dananjaya,bowl,1
Akshath Reddy,bat,0
Akshdeep Nath,bat,0
Albie Morkel,all,1
Alex Hales,bat,1
Alfonso Thomas,bowl,1
Ali Murtaza,bowl,0
Alzarri Joseph,bowl,1
Ambati Rayudu,bat,0
Amit Mishra,bowl,0
Amit Paunikar,bat,0
Amit Singh,bowl,0
Anand Rajan,bowl,0
Andre Russell,all,1
Andrew McDonald,all,1
Andrew Symonds,all,1
Andrew Tye,bowl,1
Angelo Mathews,all,1
Aniket Choudhary,bowl,0
Ankeet Chavan,bowl,0
Ankit Bawne,bat,0
Ankit Rajpoot,bowl,0
Ankit Sharma,bat,0
Ankit Soni,bowl,0
Anukul Roy,all,0
Anureet Singh,bowl,0
AP Majumdar,bat,0
Arshdeep Singh,bowl,0
Arun Karthik,wk,0
Asad Pathan,bowl,0
Ashish Nehra,bowl,0
Ashish Reddy,all,0
Ashok Dinda,bowl,0
Ashok Menaria,all,0
Ashton Turner,bat,1
Avesh Khan,bowl,0
Axar Patel,all,0
Azhar Mahmood,all,1
Balachandra Akhil,bowl,0
Barinder Sran,bowl,0
Basil Thampi,bowl,0
BB Samantray,bat,0
Ben Cutting,all,1
Ben Dunk,bat,1
Ben Hilfenhaus,bowl,1
Ben Laughlin,bowl,1
Ben Rohrer,bat,1
Ben Stokes,all,1
Beuran Hendricks,bowl,1
Bharat Chipli,bat,0
Bhargav Bhatt,bowl,0
Bhuvneshwar Kumar,bowl,0
Billy Stanlake,bowl,1
Bipul Sharma,all,0
Brad Haddin,wk,1
Brad Hodge,all,1
Brad Hogg,bowl,1
Brendon Mccullum,bat,1
Brett Lee,bowl,1
Callum Ferguson,bat,1
Cameron White,all,1
Carlos Brathwaite,all,1
Charl Langveldt,bowl,1
Cheteshwar Pujara,bat,0
Chris Gayle,bat,1
Chris Jordan,all,1
Chris Lynn,bat,1
Chris Morris,all,1
Chris Woakes,all,1
Clint McKay,bowl,1
CM Gautam,wk,0
Colin de Grandhomme,all,1
Colin Ingram,bat,1
Colin Munro,bat,1
Corey Anderson,all,1
Dale Steyn,bowl,1
Dan Christian,all,1
Daniel Harris,all,1
Daniel Vettori,bowl,1
Darcy Short,all,1
Darren Bravo,bat,1
Darren Sammy,all,1
David Hussey,all,1
David Miller,bat,1
David Warner,bat,1
David Wiese,all,1
David Willey,all,1
Davy Jacobs,bat,1
Debarata Das,bat,0
Deepak Chahar,bowl,0
Deepak Hooda,all,0
Dhawal Kulkarni,bowl,0
Dhruv Shorey,bat,0
Dilhara Fernando,bowl,1
Dimitri Mascarenhas,all,1
Dinesh Karthik,wk,0
Dirk Nannes,bowl,1
Dishant Yagnik,wk,0
DJ Muthuswami,bowl,0
